birdie,bogey,dbl,driveAcc,driveYards,eagle,gir,ip,name,pars,ppgGir,toPar,year
14,9,0,76.8,273.1,0,65.3,T21,Matt Kuchar,49,1.809,-5,2011
19,12,1,44.6,290.2,0,54.2,T21,Bio Kim,40,1.667,-5,2011
15,5,2,66.1,275.6,0,68.1,T23,Brian Harman,50,1.735,-6,2018
20,12,1,64.3,285.5,0,63.9,T23,Charley Hoffman,39,1.674,-6,2018
16,8,1,64.3,276,0,66.7,T23,Brandt Snedeker,47,1.729,-6,2018
14,13,1,41.1,306.5,1,58.3,T23,Charles Howell III,43,1.762,-1,2016
18,11,3,58.9,273.4,0,51.4,T23,Morgan Hoffmann,40,1.568,-1,2016
13,11,0,78.6,274.6,1,58.3,T30,Billy Mayfair,47,1.738,-4,2011
15,11,0,51.8,291.6,0,58.3,T30,Carl Pettersson,46,1.786,-4,2011
16,8,1,71.4,271.9,0,65.3,T23,Matt Kuchar,47,1.681,-6,2018
17,7,2,58.9,275.5,0,65.3,T23,Rory Sabbatini,46,1.660,-6,2018
14,9,2,69.6,281.7,0,61.1,T23,Chad Campbell,47,1.773,-1,2016
8,9,0,51.8,275.4,1,51.4,T23,Russell Henley,54,1.757,-1,2016
12,9,1,60.7,276.3,0,50,T23,Chris Kirk,50,1.778,-1,2016
18,14,0,71.4,271.5,0,50,T30,J.P. Hayes,40,1.639,-4,2011
13,9,0,50,265.9,0,59.7,T30,Ryuji Imada,50,1.814,-4,2011
18,9,0,62.5,276.4,0,69.4,T23,C.T. Pan,44,1.740,-6,2018
14,9,0,57.1,268.8,0,55.6,T32,Rod Pampling,49,1.650,-5,2018
14,9,0,57.1,301.8,0,61.1,T32,Nick Watney,49,1.773,-5,2018
12,10,1,64.3,270.2,0,59.7,T30,Adam Hadwin,49,1.767,E,2016
13,13,0,53.6,286.9,0,51.4,T30,Marc Leishman,46,1.703,E,2016
9,10,0,57.1,288.7,0,52.8,32,Shawn Stefani,53,1.842,+1,2016
14,10,0,57.1,286.9,0,61.1,T30,Stewart Cink,48,1.750,-4,2011
17,12,0,71.4,290.3,1,61.1,T30,Bill Haas,41,1.659,-4,2011
10,9,0,67.9,285.1,1,62.5,T36,Kevin Streelman,52,1.822,-3,2011
17,10,1,51.8,286.6,0,65.3,T32,Xander Schauffele,44,1.745,-5,2018
17,8,3,44.6,285.8,1,54.2,T32,Cameron Smith,43,1.615,-5,2018
10,10,1,64.3,283.7,0,66.7,T33,Chez Reavie,51,1.875,+2,2016
11,13,0,75,275.9,0,61.1,T33,David Lingmerth,48,1.795,+2,2016
13,11,2,60.7,284.6,0,55.6,T33,Willy Wilcox,46,1.775,+2,2016
18,12,0,75,271,0,59.7,T36,Jason Bohn,41,1.628,-3,2011
20,17,0,62.5,310.3,0,59.7,T36,Robert Garrigus,35,1.674,-3,2011
16,9,2,73.2,282.6,0,56.9,T36,Ian Poulter,45,1.683,-3,2011
14,7,1,67.9,291.9,0,66.7,T32,Dylan Frittelli,50,1.792,-5,2018
13,8,0,64.3,285.8,0,61.1,T32,Martin Laird,51,1.795,-5,2018
16,11,1,69.6,282.2,1,56.9,T32,Lucas Glover,43,1.659,-5,2018
16,10,4,55.4,279.7,0,47.2,T33,Kyle Stanley,42,1.647,+2,2016
13,9,3,50,292.2,0,63.9,T33,Lucas Glover,47,1.826,+2,2016
16,8,1,82.1,265.3,1,63.9,T36,Brian Gay,45,1.739,-3,2011
11,6,1,71.4,261.1,0,58.3,T36,Ben Curtis,54,1.833,-3,2011
17,10,2,71.4,271.9,0,66.7,T36,Stephen Ames,43,1.688,-3,2011
19,9,1,70.9,277.6,0,62.5,T32,Harris English,42,1.644,-5,2018
14,12,0,58.9,275.6,1,62.5,T40,Russell Knox,45,1.756,-4,2018
16,10,1,43.6,279.2,0,55.6,T40,Dominic Bozzelli,45,1.700,-4,2018
17,19,0,64.3,280.6,0,51.4,T33,Zach Johnson,36,1.649,+2,2016
15,16,2,55.4,295.3,1,61.1,T39,Luke List,38,1.750,+3,2016
12,9,3,48.2,292.6,0,59.7,T39,Boo Weekley,48,1.744,+3,2016
16,11,2,69.6,276.7,1,59.7,T36,Camilo Villegas,42,1.605,-3,2011
14,11,0,64.3,268.9,0,68.1,T36,Jerry Kelly,47,1.755,-3,2011
15,8,2,76.8,276.2,0,50,T36,Jeff Klauk,47,1.667,-3,2011
14,11,0,58.9,268.5,0,48.6,T42,Ollie Schniederjans,47,1.686,-3,2018
12,9,0,57.1,278.3,0,65.3,T42,Brice Garnett,51,1.787,-3,2018
17,12,1,51.8,274.8,0,68.1,T42,Stewart Cink,42,1.694,-3,2018
13,16,1,53.6,287.8,1,51.4,T39,Johnson Wagner,41,1.703,+3,2016
12,15,0,53.6,279.1,0,61.1,T39,Bronson Burgoon,45,1.795,+3,2016
11,10,3,53.6,288,1,62.5,T39,Tony Finau,47,1.800,+3,2016
13,7,2,60.7,276.7,0,61.1,T46,David Hearn,50,1.727,-2,2011
16,14,0,69.6,285.1,0,73.6,T46,Boo Weekley,42,1.811,-2,2011
13,11,0,55.4,267.3,0,65.3,T46,Alex Cejka,48,1.851,-2,2011
17,11,0,67.9,286,0,56.9,T42,Michael Thompson,43,1.634,-3,2018
16,13,0,57.1,275.2,0,51.4,T42,Zach Johnson,43,1.595,-3,2018
14,9,1,76.8,280.5,0,58.3,T42,Wesley Bryan,48,1.762,-3,2018
10,11,1,62.5,269.5,0,51.4,T39,George McNeill,50,1.730,+3,2016
14,10,4,64.3,283.1,0,66.7,T45,Ben Martin,44,1.792,+4,2016
13,12,1,60.7,291.1,0,48.6,T45,Fabian Gomez,45,1.657,+4,2016
16,12,1,76.8,273.6,0,61.1,T46,Blake Adams,43,1.659,-2,2011
10,12,1,60.7,285.1,3,65.3,T46,D.J. Trahan,46,1.787,-2,2011
12,7,0,67.9,282.2,0,69.4,T42,Andrew Landry,52,1.780,-3,2018
15,12,0,57.1,290.5,1,62.5,49,Francesco Molinari,43,1.689,-2,2018
11,10,1,58.9,268.7,0,58.3,T45,Jerry Kelly,49,1.810,+4,2016
10,12,1,55.4,282.1,0,63.9,T45,Francesco Molinari,49,1.891,+4,2016
17,11,2,69.6,276.4,0,51.4,T46,Tim Petrovic,42,1.595,-2,2011
16,13,1,73.2,280.5,0,61.1,T52,Nathan Green,42,1.750,-1,2011
11,8,1,57.1,280.4,0,66.7,T50,Jonathan Byrd,52,1.792,-1,2018
9,8,1,64.3,270.7,1,66.7,T50,Fabian Gomez,53,1.792,-1,2018
9,13,1,60.7,280,1,55.6,T45,Spencer Levin,48,1.800,+4,2016
11,11,2,62.5,277.8,0,61.1,T45,Ben Crane,48,1.773,+4,2016
12,7,3,66.1,277.3,1,61.1,T52,Troy Merritt,49,1.841,-1,2011
11,10,0,71.4,269,0,52.8,T52,Chris Riley,51,1.789,-1,2011
14,15,0,62.5,276,1,58.3,T50,Whee Kim,42,1.738,-1,2018
12,11,0,66.1,280.9,0,62.5,T50,Doc Redman,49,1.778,-1,2018
14,17,1,60.7,280.2,0,59.7,T51,Daniel Summerhays,40,1.744,+5,2016
9,12,1,50,278.7,0,52.8,T51,Seung-yul Noh,50,1.763,+5,2016
11,10,0,46.4,275.1,0,70.8,T52,Trevor Immelman,51,1.804,-1,2011
16,11,1,73.2,296.8,0,54.2,T56,Josh Teater,43,1.667,E,2011
12,8,3,69.6,271.1,1,54.2,T56,Greg Chalmers,48,1.667,E,2011
10,9,0,71.4,275.5,0,55.6,T50,Austin Cook,53,1.925,-1,2018
17,10,2,53.6,285.7,0,62.5,T55,Matt Every,42,1.689,E,2018
13,14,2,60.7,280.5,0,54.2,T51,Jim Herman,43,1.795,+5,2016
11,9,4,53.6,276.6,0,48.6,T54,Ian Poulter,48,1.743,+6,2016
13,13,0,51.8,285.1,0,54.2,T56,James Driscoll,46,1.769,E,2011
11,11,1,80.4,271.5,1,54.2,T56,Steve Flesch,48,1.718,E,2011
13,11,1,71.4,280.6,0,58.3,T56,Ben Martin,47,1.762,E,2011
14,14,0,66.1,276.9,0,56.9,T55,Charles Howell III,44,1.732,E,2018
12,9,0,71.4,278.8,0,51.4,T55,Chris Kirk,50,1.703,E,2018
8,12,1,60.7,274.1,0,55.6,T54,Mark Wilson,51,1.850,+6,2016
16,15,2,53.6,287.2,0,62.5,T54,Jason Dufner,38,1.800,+6,2016
11,15,1,46.4,287.8,0,52.8,T54,Geoff Ogilvy,45,1.763,+6,2016
15,10,3,73.2,273.7,0,61.1,T61,Graeme McDowell,44,1.682,+1,2011
12,11,1,58.9,257.3,0,51.4,T61,Chad Collins,48,1.703,+1,2011
13,9,1,71.4,265.9,0,63.9,T61,Heath Slocum,48,1.783,+1,2011
16,12,2,66.1,276.1,0,55.6,T55,Tom Hoge,42,1.675,E,2018
15,15,0,75,275.4,0,55.6,T55,Ryan Armour,42,1.725,E,2018
13,13,3,51.8,288,0,56.9,T54,Billy Horschel,43,1.683,+6,2016
10,14,0,66.1,288.8,0,68.1,T59,Davis Love III,47,1.918,+7,2016
17,8,2,67.9,282.2,0,62.5,T64,Matt Bettencourt,43,1.667,+2,2011
14,12,3,58.9,269.1,1,62.5,T64,Daniel Summerhays,42,1.667,+2,2011
15,11,2,71.4,268.5,0,56.9,T55,K.J. Choi,44,1.683,E,2018
15,9,4,57.1,294.2,1,56.9,T55,Aaron Baddeley,43,1.683,E,2018
11,14,2,66.1,262.7,0,51.4,T59,Justin Leonard,45,1.784,+7,2016
9,11,1,62.5,268.1,0,43.1,T59,Zac Blair,50,1.839,+7,2016
10,11,1,67.9,283,0,51.4,T66,Arjun Atwal,50,1.811,+3,2011
13,13,1,71.4,275.4,1,47.2,T66,Steve Elkington,43,1.618,+3,2011
13,9,2,53.6,273.9,0,52.8,T55,Scott Stallings,48,1.711,E,2018
16,12,1,67.9,276.2,1,63.9,T55,Danny Lee,41,1.674,E,2018
11,14,2,66.1,280.4,0,58.3,T59,Will MacKenzie,45,1.810,+7,2016
9,10,4,44.6,283.5,1,56.9,T59,Tyrone Van Aswegen,48,1.805,+7,2016
11,3,2,73.8,266.5,0,70.4,1,Matt Kuchar,38,1.737,-11,2014
8,8,0,67.9,288.8,0,61.1,T66,Lee Janzen,55,1.864,+3,2011
10,14,0,67.9,276.9,0,55.6,T69,Kris Blanks,48,1.825,+4,2011
16,10,2,57.1,290.9,0,62.5,T69,Will MacKenzie,42,1.778,+4,2011
9,6,0,57.1,278,0,58.3,T55,Graeme McDowell,56,1.857,E,2018
12,12,2,75,287.3,2,55.6,T55,Keith Mitchell,44,1.718,E,2018
10,8,2,60.7,269,1,52.8,T55,Ben Martin,50,1.737,E,2018
9,15,1,51.8,284.9,0,43.1,T64,Scott Brown,47,1.742,+8,2016
12,13,2,67.9,279,0,61.1,T64,Vaughn Taylor,44,1.818,+8,2016
12,15,3,58.9,265,0,43.1,T66,Webb Simpson,42,1.742,+9,2016
13,5,1,71.4,267.5,1,72.2,2,Luke Donald,34,1.692,-10,2014
10,4,0,66.7,268.6,0,64.8,T3,John Huh,40,1.771,-9,2014
11,3,0,61.9,281.2,0,64.8,T3,Ben Martin,39,1.743,-9,2014
13,11,1,66.1,285.4,0,62.5,T71,John Daly,45,1.711,+6,2011
11,17,0,71.4,271.7,0,62.5,T71,Kent Jones,44,1.889,+6,2011
6,8,3,60.7,275.1,0,56.9,73,Charlie Wi,55,1.878,+8,2011
13,14,0,50,275.7,0,51.4,T67,Peter Malnati,45,1.703,+1,2018
12,13,0,62.5,287.1,0,54.2,T67,Kevin Tway,47,1.795,+1,2018
10,7,2,62.5,268.5,0,56.9,T67,Brian Stuard,53,1.756,+1,2018
13,16,3,50,281,0,52.8,T66,Vijay Singh,40,1.737,+9,2016
