birdie,bogey,dbl,driveAcc,driveYards,eagle,gir,ip,name,pars,ppgGir,toPar,year
12,11,0,69.1,269.7,0,61.1,T53,Woody Austin,31,1.758,+3,2014
10,13,0,71.4,279.5,1,46.3,T53,Shawn Stefani,30,1.800,+3,2014
7,10,1,78.6,257.7,0,55.6,T53,David Toms,36,1.767,+3,2014
10,8,0,73.8,286.1,0,63,T53,Kevin Streelman,36,1.853,+3,2014
7,6,2,61.9,306.8,0,64.8,T53,Charles Howell III,39,1.800,+3,2014
9,8,1,54.8,284.4,1,50,T53,Gonzalo Fernandez-Castano,35,1.667,+3,2014
7,8,0,52.4,271.5,0,57.4,T61,Tim Wilkinson,39,1.839,+4,2014
10,7,2,59.5,279.9,0,53.7,T61,Stewart Cink,35,1.759,+4,2014
6,7,0,76.2,263.3,0,57.4,T61,Zach Johnson,41,1.806,+4,2014
6,9,1,61.9,253.8,0,55.6,T64,Jeff Maggert,38,1.867,+5,2014
6,9,1,50,270.4,0,59.3,T64,Ernie Els,38,1.844,+5,2014
6,12,1,64.3,289.2,0,59.3,T64,Tommy Gainey,35,1.875,+5,2014
7,8,1,78.6,275.5,0,57.4,T64,John Mallinger,38,1.839,+5,2014
6,6,1,81,280.8,0,70.4,T68,Billy Horschel,41,1.868,+6,2014
7,6,3,57.1,257.3,0,51.9,T68,Brian Gay,38,1.821,+6,2014
9,14,0,78.6,258.5,0,35.2,T68,Erik Compton,31,1.632,+6,2014
5,7,1,69.1,279.7,1,59.3,T68,James Hahn,40,1.875,+6,2014
5,10,1,61.9,276.8,0,50,T68,Mark D. Anderson,38,1.889,+6,2014
8,9,2,57.1,295.6,1,50,73,Robert Garrigus,34,1.815,+7,2014
9,9,0,61.9,276.4,0,50,T74,Dudley Hart,35,1.778,+8,2014
7,8,1,59.5,259,0,53.7,T74,Brian Davis,37,1.793,+8,2014
6,10,1,66.7,260.6,0,61.1,T74,Brandt Snedeker,37,1.848,+8,2014
10,9,3,73.8,288.1,0,57.4,T74,Trevor Immelman,32,1.806,+8,2014
8,13,1,66.7,267.3,1,51.9,78,Briny Baird,31,1.786,+12,2014
22,6,1,66.1,279.1,0,69.4,1,Carl Pettersson,43,1.580,-14,2012
18,9,1,75,272.9,1,61.1,2,Zach Johnson,43,1.591,-9,2012
17,8,0,69.6,260.3,1,62.5,3,Colt Knost,45,1.600,-8,2012
13,7,0,57.1,286.5,0,66.7,T4,Kevin Stadler,52,1.750,-6,2012
14,8,1,75,279.8,1,52.8,T4,Billy Mayfair,48,1.684,-6,2012
15,8,1,71.4,294.1,0,58.3,T6,Boo Weekley,48,1.714,-5,2012
16,9,1,62.5,276.4,0,52.8,T6,Matt Bettencourt,46,1.632,-5,2012
13,9,0,69.6,263.6,0,54.2,T8,Kevin Na,50,1.692,-4,2012
12,8,1,71.4,273.5,1,55.6,T8,Jim Furyk,50,1.700,-4,2012
16,12,2,57.1,295.7,2,62.5,T8,Charley Hoffman,40,1.667,-4,2012
12,5,0,57.1,273.6,0,55.6,T8,Matt Every,54,1.750,-4,2012
15,11,0,66.1,308.7,0,65.3,T8,Harris English,46,1.766,-4,2012
15,10,1,67.9,260.9,0,55.6,T13,Mark D. Anderson,46,1.675,-3,2012
13,10,0,73.2,276.2,0,56.9,T13,Brian Davis,49,1.707,-3,2012
11,8,1,57.1,270.2,1,59.7,T13,Vaughn Taylor,51,1.744,-3,2012
14,9,1,60.7,311,0,63.9,T13,Robert Garrigus,48,1.761,-3,2012
14,10,1,71.4,275,0,56.9,T17,Rory Sabbatini,47,1.854,-2,2012
15,7,3,69.6,277.7,0,55.6,T17,Brandt Snedeker,47,1.675,-2,2012
12,10,0,66.1,288.1,0,61.1,T17,Kevin Streelman,50,1.841,-2,2012
16,12,0,71.4,264,0,48.6,T20,Greg Chalmers,43,1.657,-1,2012
18,13,2,73.2,273.3,0,52.8,T20,D.A. Points,39,1.684,-1,2012
15,14,0,78.6,283.7,0,59.7,T20,John Rollins,43,1.721,-1,2012
15,12,1,48.2,284.2,0,54.2,T20,Michael Thompson,44,1.667,-1,2012
