fedExPoints,name,r1,r2,r3,r4,rank,score,total,year
71,Charlie Beljan,69,64,74,71,T69,+2,286,2015
72,Lee Janzen,70,67,74,72,T66,+3,287,2011
74,William McGirt,71,63,71,74,T70,+2,286,2018
78,Martin Kaymer,69,67,76,78,T66,+9,293,2013
72,Daniel Berger,72,64,75,72,T72,+3,287,2015
74,Kris Blanks,71,67,74,74,T69,+4,288,2011
73,Jim Furyk,70,63,73,73,T70,+2,286,2018
79,Jonathan Byrd,71,67,73,79,T66,+9,293,2013
76,Tom Watson,72,64,69,76,T72,+3,287,2015
71,Will MacKenzie,71,67,77,71,T69,+4,288,2011
73,Brian Gay,71,63,71,73,T70,+2,286,2018
80,Casey Wittenberg,75,67,70,80,70,+10,294,2013
70,Nick Taylor,72,64,77,70,74,+4,288,2015
74,John Daly,70,67,74,74,T71,+6,290,2011
74,Martin Kaymer,69,63,72,74,73,+4,288,2018
--,Bo Van Pelt,68,67,75,--,T71,+3,216,2013
73,Boo Weekley,74,64,77,73,T75,+7,291,2015
73,Kent Jones,73,67,76,73,T71,+6,290,2011
74,David Lingmerth,71,63,73,74,T74,+5,289,2018
--,Josh Teater,71,67,74,--,T71,+3,216,2013
75,Ryo Ishikawa,71,64,75,75,T75,+7,291,2015
77,Charlie Wi,72,67,73,77,73,+8,292,2011
73,Davis Love III,73,63,74,73,T74,+5,289,2018
--,Tommy Gainey,70,67,73,--,T71,+3,216,2013
--,Rory Sabbatini,72,64,--,--,-,CUT,143,2015
--,Chris Stroud,73,67,--,--,-,CUT,143,2011
78,Ryan Palmer,73,63,74,78,76,+6,290,2018
--,Jason Kokrak,76,67,72,--,T71,+3,216,2013
--,Russell Henley,74,64,--,--,-,CUT,143,2015
--,Jonathan Byrd,74,67,--,--,-,CUT,143,2011
74,Michael Kim,76,63,76,74,77,+8,292,2018
--,Ricky Barnes,70,67,72,--,T71,+3,216,2013
--,Jhonattan Vegas,74,64,--,--,-,CUT,143,2015
--,Hunter Haas,70,67,--,--,-,CUT,143,2011
--,Kevin Na,74,63,--,--,-,CUT,143,2018
--,Patrick Reed,71,67,73,--,T71,+3,216,2013
--,Glen Day,71,64,--,--,-,CUT,143,2015
--,Chris Kirk,75,67,--,--,-,CUT,143,2011
--,Jason Dufner,71,63,--,--,-,CUT,143,2018
--,Jeff Klauk,72,67,73,--,T71,+3,216,2013
--,David Hearn,73,64,--,--,-,CUT,143,2015
--,Johnson Wagner,71,67,--,--,-,CUT,143,2011
--,J.J. Spaun,71,63,--,--,-,CUT,143,2018
--,Henrik Norlander,71,67,77,--,T78,+4,217,2013
--,Sam Saunders,74,64,--,--,-,CUT,143,2015
--,Bo Van Pelt,68,67,--,--,-,CUT,143,2011
--,John Senden,69,63,--,--,-,CUT,143,2018
--,Gary Woodland,68,67,76,--,T78,+4,217,2013
--,Derek Ernst,72,64,--,--,-,CUT,143,2015
--,Kevin Stadler,75,67,--,--,-,CUT,143,2011
--,Patton Kizzire,71,63,--,--,-,CUT,143,2018
--,Jesper Parnevik,72,67,73,--,T78,+4,217,2013
--,Luke Guthrie,72,64,--,--,-,CUT,143,2015
--,Michael Sim,71,67,--,--,-,CUT,143,2011
--,Dru Love,77,63,--,--,-,CUT,143,2018
--,Lee Williams,69,67,76,--,T78,+4,217,2013
--,Andres Romero,74,64,--,--,-,CUT,143,2015
--,Joe Durant,72,67,--,--,-,CUT,143,2011
--,Marc Leishman,72,63,--,--,-,CUT,143,2018
--,Jonas Blixt,73,67,74,--,T78,+4,217,2013
--,Jeff Overton,75,64,--,--,-,CUT,143,2015
--,Justin Hicks,72,67,--,--,-,CUT,143,2011
--,Kevin Chappell,73,63,--,--,-,CUT,143,2018
--,D.H. Lee,70,67,80,--,T83,+5,218,2013
--,Tony Finau,73,64,--,--,-,CUT,144,2015
--,Kevin Kisner,73,67,--,--,-,CUT,143,2011
--,Steve Marino,74,63,--,--,-,CUT,143,2018
--,Glen Day,68,67,75,--,T83,+5,218,2013
--,Gunn Yang,74,64,--,--,-,CUT,144,2015
--,Brad Faxon,75,67,--,--,-,CUT,144,2011
--,Luke Donald,76,63,--,--,-,CUT,143,2018
--,Troy Matteson,71,67,76,--,T83,+5,218,2013
--,Marcel Siem,71,64,--,--,-,CUT,144,2015
--,Jarrod Lyle,75,67,--,--,-,CUT,144,2011
--,Kelly Kraft,71,63,--,--,-,CUT,143,2018
--,Matt Every,73,67,74,--,T83,+5,218,2013
--,Adam Hadwin,75,64,--,--,-,CUT,144,2015
--,Steven Bowditch,76,67,--,--,-,CUT,144,2011
--,Robert Garrigus,72,63,--,--,-,CUT,143,2018
--,David Hearn,74,67,75,--,87,+6,219,2013
--,Brian Davis,72,64,--,--,-,CUT,144,2015
--,Bryce Molder,74,67,--,--,-,CUT,144,2011
--,Scott Brown,70,63,--,--,-,CUT,144,2018
--,William McGirt,70,67,80,--,T88,+7,220,2013
--,Carlos Ortiz,75,64,--,--,-,CUT,144,2015
--,Marc Turnesa,72,67,--,--,-,CUT,144,2011
--,Harold Varner III,72,63,--,--,-,CUT,144,2018
--,Nicolas Colsaerts,74,67,76,--,T88,+7,220,2013
--,Dudley Hart,71,64,--,--,-,CUT,144,2015
