fedExPoints,name,r1,r2,r3,r4,rank,score,total,year
71,Brian Harman,70,63,69,71,T23,-6,278,2018
71,Scott Langley,71,67,72,71,T24,-1,283,2013
70,Pat Perez,69,64,67,70,T26,-7,277,2015
71,Michael Bradley,71,67,66,71,T21,-5,279,2011
71,Charley Hoffman,72,63,66,71,T23,-6,278,2018
73,Darron Stiles,70,67,71,73,T24,-1,283,2013
72,Graeme McDowell,66,64,70,72,T26,-7,277,2015
69,Brendan Steele,70,67,72,69,T21,-5,279,2011
72,Brandt Snedeker,70,63,72,72,T23,-6,278,2018
76,Bill Haas,68,67,70,76,T24,-1,283,2013
67,Carl Pettersson,72,64,69,67,T26,-7,277,2015
